episode_number,train_reward,train_loss,rewards_avg
0,-2,0.10199335217475891,-2.0
1,0,0.05453842133283615,-1.0
2,0,0.4588286578655243,-0.6666666666666666
3,-2,0.0093315951526165,-1.0
4,-2,0.42152106761932373,-1.2
5,-2,0.4813454747200012,-1.3333333333333333
6,-2,0.45111992955207825,-1.4285714285714286
7,-2,1.5245062112808228,-1.5
8,-2,3.4795390092767775e-05,-1.5555555555555556
9,-2,0.4987809658050537,-1.6
10,-2,0.4306917190551758,-1.6
11,-2,0.19123172760009766,-1.8
12,-2,0.3742498457431793,-2.0
13,-2,0.3487626314163208,-2.0
14,0,0.37336471676826477,-1.8
15,-2,0.3221529722213745,-1.8
16,-2,0.001903484109789133,-1.8
17,0,0.6639796495437622,-1.6
18,-2,0.2854047417640686,-1.6
19,-2,0.0013678675750270486,-1.6
20,-2,0.28979912400245667,-1.6
21,0,0.19136658310890198,-1.4
22,-2,0.344230055809021,-1.4
23,-2,0.25194448232650757,-1.4
24,-2,0.27046746015548706,-1.6
25,0,0.24943816661834717,-1.4
26,-2,0.34800949692726135,-1.4
27,-2,0.023907626047730446,-1.6
28,-2,0.18531674146652222,-1.6
29,-2,0.15526622533798218,-1.6
30,-2,0.11681630462408066,-1.6
31,0,0.22352199256420135,-1.6
32,-2,0.018761279061436653,-1.6
33,-2,0.09768011420965195,-1.6
34,-2,0.37542277574539185,-1.6
35,-2,0.4374949634075165,-1.8
36,-2,0.14894434809684753,-1.8
37,-2,0.13705138862133026,-1.8
38,-2,0.7334698438644409,-1.8
39,-2,0.09296950697898865,-1.8
40,0,0.1272488832473755,-1.6
41,-2,0.08261995017528534,-1.8
42,-2,0.5009827613830566,-1.8
43,-2,0.08667721599340439,-1.8
44,-2,0.09453514963388443,-1.8
45,-2,0.08103182166814804,-1.8
46,-2,0.16476258635520935,-1.8
47,-2,0.7705276608467102,-1.8
48,-2,0.1482008993625641,-1.8
49,-2,0.24527278542518616,-1.8
50,-2,0.06275271624326706,-2.0
51,-2,0.011154018342494965,-2.0
52,0,0.1171942725777626,-1.8
53,-2,0.030894793570041656,-1.8
54,-2,0.18034492433071136,-1.8
55,-2,0.3932155966758728,-1.8
56,-2,0.0363265760242939,-1.8
57,-2,0.051246289163827896,-1.8
58,0,0.01169116422533989,-1.6
59,-2,0.02173960953950882,-1.6
60,-2,0.1865071803331375,-1.6
61,-2,0.007931115105748177,-1.6
62,-2,0.04623940959572792,-1.8
63,-2,0.14054493606090546,-1.8
64,-2,0.04563505947589874,-1.8
65,0,0.03176986053586006,-1.6
66,0,1.4706300135003403e-05,-1.4
67,-2,0.0346670001745224,-1.4
68,-2,0.00023391876311507076,-1.6
69,-2,0.0006672588060609996,-1.6
70,-2,0.17819242179393768,-1.6
71,-2,0.07755900174379349,-1.6
72,-2,0.003794131800532341,-1.6
